Employee No,Surname,Given Name,Middle Name,Date of Birth,Sex,Home Address,Contact Number,Email Address,Office Code,Department,Function / PPA,Nature of Appointment,Position Title,Daily Rate,Date Hired,Contract Start,Contract End,TIN No,GSIS No,PhilHealth No,Pag-IBIG No,Cash Card No,Status
DEMO-0001,DELA CRUZ,Juan,Santos,1992-03-14,Male,"Zone I, Digos City",0900-000-1001,demo001@example.invalid,CMO,General Services,GEN,Job Order,Administrative Aide,520.00,2026-01-05,2026-01-01,2026-12-31,900-000-000-001,9000000001,9000-0000-0001,9000-0000-0001,9000000000000001,Active
DEMO-0002,REYES,Maria,Lopez,1995-07-22,Female,"Aplaya, Digos City",0900-000-1002,demo002@example.invalid,CMO,General Services,GEN,Job Order,Clerk,500.00,2026-01-05,2026-01-01,2026-12-31,900-000-000-002,9000000002,9000-0000-0002,9000-0000-0002,9000000000000002,Active
DEMO-0003,BAUTISTA,Pedro,Ramos,1988-11-02,Male,"San Jose, Digos City",0900-000-1003,demo003@example.invalid,CMO,General Services,GEN,Job Order,Driver,560.00,2026-01-05,2026-01-01,2026-12-31,900-000-000-003,9000000003,9000-0000-0003,9000-0000-0003,9000000000000003,Active
DEMO-0004,GARCIA,Ana,Mendoza,1998-02-09,Female,"Cogon, Digos City",0900-000-1004,demo004@example.invalid,CMO,General Services,GEN,Contract of Service,Encoder,610.00,2026-01-05,2026-01-01,2026-06-30,900-000-000-004,9000000004,9000-0000-0004,9000-0000-0004,9000000000000004,Active
DEMO-0005,TORRES,Jose,Aquino,1990-09-30,Male,"Ruparan, Digos City",0900-000-1005,demo005@example.invalid,CMO,General Services,GEN,Job Order,Utility Worker,480.00,2026-01-05,2026-01-01,2026-12-31,900-000-000-005,9000000005,9000-0000-0005,9000-0000-0005,9000000000000005,Active
DEMO-0006,VILLANUEVA,Rosa,Cruz,1993-05-18,Female,"Zone II, Digos City",0900-000-1006,demo006@example.invalid,CTO,Finance,GEN,Job Order,Revenue Collection Clerk,540.00,2026-01-05,2026-01-01,2026-12-31,900-000-000-006,9000000006,9000-0000-0006,9000-0000-0006,9000000000000006,Active
DEMO-0007,SANTOS,Mark,Diaz,1996-12-01,Male,"Tres de Mayo, Digos City",0900-000-1007,demo007@example.invalid,CTO,Finance,GEN,Job Order,Administrative Aide,520.00,2026-01-05,2026-01-01,2026-12-31,900-000-000-007,9000000007,9000-0000-0007,9000-0000-0007,9000000000000007,Active
DEMO-0008,FERNANDEZ,Liza,Navarro,1991-08-25,Female,"Matti, Digos City",0900-000-1008,demo008@example.invalid,CTO,Finance,GEN,Contract of Service,Bookkeeping Assistant,650.00,2026-01-05,2026-01-01,2026-06-30,900-000-000-008,9000000008,9000-0000-0008,9000-0000-0008,9000000000000008,Active
DEMO-0009,CASTILLO,Ramon,Flores,1987-04-11,Male,"Dawis, Digos City",0900-000-1009,demo009@example.invalid,CHO,Health Services,GEN,Job Order,Nursing Attendant,530.00,2026-01-05,2026-01-01,2026-12-31,900-000-000-009,9000000009,9000-0000-0009,9000-0000-0009,9000000000000009,Active
DEMO-0010,MORALES,Grace,Salvador,1994-10-07,Female,"Igpit, Digos City",0900-000-1010,demo010@example.invalid,CHO,Health Services,GEN,Job Order,Midwife Aide,545.00,2026-01-05,2026-01-01,2026-12-31,900-000-000-010,9000000010,9000-0000-0010,9000-0000-0010,9000000000000010,Active
DEMO-0011,RIVERA,Nestor,Gonzales,1989-06-16,Male,"Zone III, Digos City",0900-000-1011,demo011@example.invalid,CHO,Health Services,GEN,Job Order,Sanitation Aide,495.00,2026-01-05,2026-01-01,2026-12-31,900-000-000-011,9000000011,9000-0000-0011,9000-0000-0011,9000000000000011,Active
DEMO-0012,ALVAREZ,Teresa,Yap,1997-01-28,Female,"Colorado, Digos City",0900-000-1012,demo012@example.invalid,CHO,Health Services,GEN,Contract of Service,Encoder,600.00,2026-01-05,2026-01-01,2026-06-30,900-000-000-012,9000000012,9000-0000-0012,9000-0000-0012,9000000000000012,Active
